metric,value
county_year_rows_before_restrictions,7211.0
county_year_rows_primary_sample,6564.0
counties_primary_sample,2188.0
states_primary_sample,29.0
treated_share_2022,0.7401960784313726
across_issuer_treated_share_2022,0.03594771241830065
within_issuer_treated_share_2022,0.7050653594771242
missing_outcome_share_2022,0.037173202614379085
missing_treatment_share_2022,0.0008169934640522876
treated_share_2023,0.6013071895424836
across_issuer_treated_share_2023,0.002042483660130719
within_issuer_treated_share_2023,0.5996732026143791
missing_outcome_share_2023,0.025326797385620915
missing_treatment_share_2023,0.0
treated_share_2024,0.567170626349892
across_issuer_treated_share_2024,0.006047516198704104
within_issuer_treated_share_2024,0.5628509719222462
missing_outcome_share_2024,0.016846652267818573
missing_treatment_share_2024,0.012526997840172787
